Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.42,5,20170703,20170703,0.61,0.35,0.31,0.39,,0.37,0.36,0.53,1.08,,0.16,0.16,0.27,1.13,,0.10,0.07,0.08,0.12,,-0.528683603,2.451443195,1.96,2.85,6.72,22.51,,64.31451245,1.013497472,#NUM!,,0.027714153,0.000731154,0.000397784,0.002222442,,0.009754647,0.000118316,0.000114040,0.506232113,,0.443917596,0.000118316,0.000114040,0.229544564,,0.032100458,0.000128261,0.000122743,0.000122429,,0.000000000,0.000000000,0.000000000,0.000000000,,0.961216986,#NUM!
410.43,4,20170703,20170703,0.47,0.12,0.04,0.10,,8.03,0.55,0.65,1.70,,11.34,8.33,0.29,0.90,,0.03,0.03,0.09,0.22,,-0.780541062,0.546735346,1.91,2.20,2.42,6.82,,75.27657281,0.659201860,#NUM!,,0.003421747,0.000588389,0.000575391,0.000588389,,0.071452648,0.085805410,0.000584026,0.004591634,,0.000606142,0.075336882,0.000554321,0.601715639,,0.019407582,0.000606144,0.000588389,0.000585782,,0.000000000,0.000000000,0.000000000,0.000000000,,0.007467415,#NUM!
410.45,4,20170703,20170703,0.54,0.19,0.18,0.22,,0.57,0.35,0.68,1.03,,10.99,0.22,0.30,1.04,,0.06,0.09,0.07,0.16,,-0.826475561,1.704016805,1.81,2.38,3.89,11.97,,63.41094561,0.828981638,#NUM!,,0.013298858,0.000624396,0.000619786,0.000849468,,0.230120987,0.000575391,0.000554322,0.882250698,,0.082548125,0.000571117,0.000554321,0.914144179,,0.020532947,0.000606144,0.000588389,0.000585782,,0.000000000,0.000000000,0.000000000,0.000000000,,0.194888055,#NUM!
410.47,1,20170703,20170703,2.50,1.06,0.56,0.60,,1.25,1.00,0.99,1.54,,0.65,0.72,0.54,1.23,,0.76,0.39,0.43,0.26,,1.051153183,2.925443649,3.49,5.76,7.61,32.32,,59.37162988,0.922075450,#NUM!,,0.109861223,0.887625364,0.204887599,0.450250771,,0.457551449,1.000000000,0.897201492,0.146093249,,0.256578813,0.184075541,0.083985575,0.176204295,,0.749759909,0.089177462,0.085443397,0.085237533,,0.233608499,0.000116781,0.000000000,0.000000003,,0.908021688,#NUM!
410.48,3,20170703,20170703,1.33,0.63,0.43,1.06,,1.62,1.23,1.10,2.30,,1.15,0.70,0.67,1.21,,0.93,0.65,0.68,0.29,,0.176294938,3.208237886,2.61,4.00,6.18,48.16,,75.50756964,0.623351216,#NUM!,,0.138661041,0.075269705,0.011378433,0.544942012,,0.018116938,0.152172031,0.038248419,0.003178256,,0.417129699,0.270773174,0.005339492,0.024504033,,0.634806800,0.006402286,0.015759335,0.002917676,,0.000000010,0.000000000,0.000000000,0.000000000,,0.005436137,#NUM!
410.50,3,20170703,20170703,1.75,0.88,0.55,0.64,,0.99,1.03,0.99,1.49,,0.65,0.54,0.59,1.06,,0.74,0.50,0.37,0.30,,0.423527151,2.953431129,2.76,4.40,7.58,30.71,,61.60649415,0.654099643,#NUM!,,0.029138149,0.466150722,0.029310567,0.200347463,,0.576304499,0.781728578,0.428582103,0.015262762,,0.173181207,0.007212869,0.003226484,0.503992733,,0.525021171,0.003375212,0.002902408,0.002887708,,0.001886787,0.000000000,0.000000000,0.000000000,,0.008032910,#NUM!
410.52,2,20170703,20170703,1.87,0.95,0.58,0.81,,1.44,1.54,1.21,2.24,,1.39,1.26,0.96,1.20,,0.88,0.66,0.74,0.40,,0.460693568,2.884738922,2.74,4.57,6.35,33.73,,66.52195794,0.745935380,#NUM!,,0.063858068,0.840579451,0.091472200,0.523671759,,0.235813927,0.024103580,0.025761044,0.016478771,,0.157428517,0.224729626,0.642899181,0.107257026,,0.836120136,0.024645490,0.019228513,0.015094558,,0.002462224,0.000000000,0.000000000,0.000000000,,0.083848216,#NUM!
410.53,5,20170703,20170703,2.80,1.28,0.50,0.17,,1.08,0.85,0.65,0.37,,0.94,0.63,0.60,0.74,,0.85,0.67,0.68,0.91,,2.061074257,4.276486874,5.41,8.92,12.93,17.85,,2.940525629,2.032681465,#NUM!,,0.000237986,0.147526334,0.001981432,0.000143097,,0.434328020,0.011258614,0.000114040,0.000114040,,0.519575361,0.001261911,0.000141030,0.043262249,,0.588907715,0.000468206,0.000202173,0.475585832,,0.000000000,0.991931796,0.000000000,0.000000000,,0.000463333,#NUM!
410.54,2,20170703,20170703,1.96,0.79,0.47,0.39,,1.48,1.14,1.08,1.29,,1.10,0.88,0.97,1.17,,0.73,0.68,0.63,0.43,,0.854696989,2.955073357,2.71,4.31,6.62,23.46,,47.29646605,1.056733131,#NUM!,,0.046263909,0.361976521,0.043227023,0.052529808,,0.098240582,0.485418961,0.217195556,0.139034227,,0.659340913,0.433503590,0.737433525,0.183179339,,0.649044957,0.027717416,0.015118793,0.015256870,,0.018113360,0.000000000,0.000000000,0.000000000,,0.601214409,#NUM!
410.56,6,20170703,20170703,2.22,1.01,0.45,0.17,,1.01,0.74,0.67,0.42,,0.74,0.52,0.53,0.78,,0.88,0.57,0.60,0.84,,2.013728619,4.623895645,4.68,7.84,11.78,17.37,,5.266191693,2.500871181,#NUM!,,0.000146287,0.817384185,0.000354088,0.000031527,,0.725674145,0.000194065,0.000023937,0.000023937,,0.015659504,0.000179432,0.000025559,0.030239059,,0.653074479,0.000068997,0.000031301,0.015380774,,0.000000000,0.036949564,0.000000000,0.000000000,,0.000153090,#NUM!
