Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.38,7,20170703,20170703,0.60795,0.31195,0.20873,0.19137,,0.650355,0.562879,0.654556,0.971849,,0.453179,0.305007,0.374114,1.088545,,0.252800,0.193932,0.167105,0.202763,,0.178671,2.836975,2.624911,4.203235,7.790499,19.816072,,52.628215,2.169044,#NUM!,,0.004088,0.000015,0.000008,0.000008,,0.005766,0.000009,0.000005,0.174188,,0.000477,0.000005,0.000005,0.305727,,0.013634,0.000006,0.000006,0.000006,,0.000000,0.000000,0.000000,0.000000,,0.000054,#NUM!
410.39,1,20170703,20170703,1.02299,0.70710,0.67393,0.69000,,0.564846,0.437829,0.642062,0.922061,,0.328327,0.234218,0.294452,1.127070,,0.475250,0.128248,0.122805,0.208137,,0.280140,5.138136,2.374732,4.705978,14.776888,48.696205,,57.263225,0.897361,#NUM!,,0.946688,0.368408,0.311719,0.524576,,0.205461,0.084812,0.084035,0.642827,,0.092902,0.084812,0.084035,0.530213,,0.582299,0.086383,0.085594,0.085260,,0.000459,0.000000,0.000354,0.000220,,0.643983,#NUM!
410.40,4,20170703,20170703,1.66903,0.89804,0.68595,0.47420,,0.474156,0.467585,0.617159,0.771611,,0.275647,0.226337,0.335608,1.006696,,0.406280,0.145753,0.141883,0.296683,,0.166269,3.579114,2.581351,5.293336,12.272566,31.047638,,35.031525,1.183357,#NUM!,,0.110876,0.305961,0.036474,0.031576,,0.006272,0.000574,0.000556,0.019437,,0.000824,0.000574,0.000556,0.961364,,0.241081,0.000616,0.000592,0.000586,,0.000000,0.000000,0.000000,0.000000,,0.143814,#NUM!
410.41,3,20170703,20170703,0.16428,0.21003,0.19615,0.22318,,0.207773,0.428463,0.535850,0.909123,,0.256682,0.170594,0.268170,1.002996,,0.060189,0.074807,0.075263,0.180381,,-0.784147,2.409152,1.784467,2.626424,4.710300,13.585926,,60.932823,0.983872,#NUM!,,0.003062,0.003345,0.003087,0.003740,,0.016227,0.002847,0.002778,0.311922,,0.003112,0.002847,0.002778,0.968252,,0.008399,0.002989,0.002917,0.002890,,0.000000,0.000000,0.000000,0.000000,,0.517950,#NUM!
410.42,5,20170703,20170703,0.48082,0.31929,0.31261,0.39971,,0.347136,0.390601,0.534310,1.088034,,0.201894,0.157697,0.268374,1.127926,,0.048566,0.067655,0.074516,0.118083,,-0.528684,2.451443,1.960499,2.851978,6.716195,22.509148,,64.314512,1.013497,#NUM!,,0.018447,0.000766,0.000394,0.001965,,0.003617,0.000119,0.000114,0.478219,,0.000143,0.000119,0.000114,0.230174,,0.000955,0.000129,0.000124,0.000123,,0.000000,0.000000,0.000000,0.000000,,0.961217,#NUM!
410.43,4,20170703,20170703,0.17757,0.07571,0.04417,0.10638,,0.574705,0.561491,0.652641,1.711895,,0.131566,0.216163,0.289766,0.898766,,0.041968,0.010221,0.014506,0.219256,,-0.780541,0.546735,1.909033,2.200514,2.415524,6.819961,,75.276573,0.659202,#NUM!,,0.000612,0.000583,0.000578,0.000592,,0.516977,0.085589,0.000583,0.004148,,0.000811,0.000727,0.000556,0.615920,,0.001457,0.000592,0.000588,0.000586,,0.000000,0.000000,0.000000,0.000000,,0.007467,#NUM!
410.45,4,20170703,20170703,0.41541,0.17683,0.17820,0.22037,,0.367227,0.330594,0.681212,1.031580,,0.156063,0.224904,0.297509,1.039014,,0.028049,0.028764,0.063292,0.153795,,-0.826476,1.704017,1.809457,2.382176,3.890554,11.974238,,63.410946,0.828982,#NUM!,,0.001998,0.000626,0.000626,0.000830,,0.004911,0.000592,0.000556,0.852263,,0.000592,0.000574,0.000556,0.918546,,0.001062,0.000612,0.000592,0.000586,,0.000000,0.000000,0.000000,0.000000,,0.194888,#NUM!
410.47,1,20170703,20170703,2.71782,1.11308,0.56327,0.61134,,1.378557,1.030609,0.995044,1.545133,,0.814566,0.728308,0.541588,1.231208,,1.148681,0.419810,0.397234,0.249132,,1.051153,2.925444,3.489715,5.759161,7.614541,32.320736,,59.371630,0.922075,#NUM!,,0.100702,0.744649,0.199352,0.441276,,0.322149,0.881687,0.929530,0.138382,,0.507848,0.197845,0.084035,0.174864,,0.895320,0.091236,0.085594,0.085260,,0.188949,0.000164,0.000000,0.000000,,0.908022,#NUM!
410.48,3,20170703,20170703,1.39815,0.64786,0.43963,1.08168,,1.741300,1.275282,1.104357,2.315491,,1.080074,0.710539,0.675037,1.209194,,1.056539,0.642415,0.683860,0.289685,,0.176295,3.208238,2.614390,3.998888,6.184769,48.164246,,75.507570,0.623351,#NUM!,,0.077575,0.089083,0.011210,0.472965,,0.014827,0.084504,0.033122,0.003214,,0.654324,0.284215,0.005501,0.023979,,0.925678,0.007139,0.003861,0.002920,,0.000000,0.000000,0.000000,0.000000,,0.005436,#NUM!
410.50,3,20170703,20170703,1.89767,0.91585,0.55826,0.64905,,1.096344,1.068392,0.991447,1.498738,,0.814039,0.548900,0.593541,1.063596,,0.621660,0.479540,0.344615,0.295852,,0.423527,2.953431,2.758216,4.404812,7.576237,30.708830,,61.606494,0.654100,#NUM!,,0.028322,0.610957,0.027966,0.192833,,0.307185,0.644480,0.460779,0.013458,,0.684215,0.008097,0.003266,0.505779,,0.299009,0.003740,0.002917,0.002890,,0.003109,0.000000,0.000000,0.000000,,0.008033,#NUM!
